Geo,Year,AutoMeanAge,LtTrkMeanAge
Charles City County,2024,10.52,10.52
Charles City County,2045,11.27,11.27
Chesterfield County,2024,12.46,12.46
Chesterfield County,2045,13.21,13.21
Goochland County,2024,12.04,12.04
Goochland County,2045,12.79,12.79
Hanover County,2024,8.83,8.83
Hanover County,2045,9.58,9.58
Henrico County,2024,9.19,9.19
Henrico County,2045,9.94,9.94
New Kent County,2024,11.74,11.74
New Kent County,2045,12.49,12.49
Powhatan County,2024,13.65,13.65
Powhatan County,2045,13.99,13.99
Richmond City,2024,9.89,9.89
Richmond City,2045,10.64,10.64
