Geo,Year,FuelTax.2024,VmtTax.2024,PevSurchgTaxProp
Charles City County,2024,0.494,0,0.575
Charles City County,2045,0.494,0,0.575
Chesterfield County,2024,0.494,0,0.575
Chesterfield County,2045,0.494,0,0.575
Goochland County,2024,0.494,0,0.575
Goochland County,2045,0.494,0,0.575
Hanover County,2024,0.494,0,0.575
Hanover County,2045,0.494,0,0.575
Henrico County,2024,0.494,0,0.575
Henrico County,2045,0.494,0,0.575
New Kent County,2024,0.494,0,0.575
New Kent County,2045,0.494,0,0.575
Powhatan County,2024,0.494,0,0.575
Powhatan County,2045,0.494,0,0.575
Richmond City,2024,0.494,0,0.575
Richmond City,2045,0.494,0,0.575
