Geo,UzaNameLookup,UrbanLdvDvmt,UrbanHvyTrkDvmt
Accomack County,NA,1342255.31,63464.19
Albemarle County,"Charlottesville, VA",4041830.69,258591.61
Alexandria City,"Washington-Arlington, DC-VA-MD",1992486.89,60284.34
Alleghany County,NA,545218.04,110517.65
Amelia County,NA,523773.94,27780.71
Amherst County,NA,982400.9,69618.26
Appomattox County,NA,535460.08,33562.14
Arlington County,"Washington-Arlington, DC-VA-MD",4422915.17,51157.13
Augusta County,"Staunton-Waynesboro, VA",3501375.08,609483.01
Bath County,NA,120521.09,6413
Bedford County,NA,2083832.8,82793.29
Bland County,NA,611484.31,155541.57
Botetourt County,NA,1599660.31,428401.61
Bristol City,"Bristol, TN-VA",616552.66,99913.98
Brunswick County,NA,877216.08,185374.51
Buchanan County,NA,504040.52,32770.5
Buckingham County,NA,477272.19,35104.33
Buena Vista City,NA,54444.48,1775.19
Campbell County,NA,1619401.11,98736.71
Caroline County,NA,3582405.02,287251.62
Carroll County,NA,1590579.38,307854.11
Charles City County,NA,219804.85,17850.65
Charlotte County,NA,366913.77,45001.92
Charlottesville City,"Charlottesville, VA",570917.94,11702.35
Chesapeake City,"Virginia Beach-Norfolk, VA",5953252.77,267661.25
Chesterfield County,NA,9789776.44,387921.87
Clarke County,NA,776781.82,39710.08
Colonial Heights City,NA,645195.29,38347.43
Covington City,NA,92037.65,7610.88
Craig County,NA,102108.81,3729.29
Culpeper County,NA,1837668.62,97788.9
Cumberland County,NA,249635.83,13675.2
Danville City,NA,911753.22,56156.23
Dickenson County,NA,309649.56,14727.44
Dinwiddie County,NA,1190210.16,172539.61
Emporia City,NA,186722.64,27779.12
Essex County,NA,419732.59,26899.79
Fairfax City,"Washington-Arlington, DC-VA-MD",413832.19,6136.76
Fairfax County,"Washington-Arlington, DC-VA-MD",30821196.52,787621.5
Falls Church City,"Washington-Arlington, DC-VA-MD",121357.39,2595.82
Fauquier County,NA,3263033.68,257901.84
Floyd County,NA,446208.85,14923.19
Fluvanna County,NA,505465.21,26099.35
Franklin City,NA,83939.79,920.91
Franklin County,NA,1905933.95,102097.41
Frederick County,NA,3206941.46,428158.35
Fredericksburg City,"Fredericksburg, VA",909572.7,82750.44
Galax City,NA,126020.98,3877.34
Giles County,NA,562066.96,53755.94
Gloucester County,NA,1056295.43,22338.42
Goochland County,NA,1768740.09,143292.52
Grayson County,NA,487560.72,14872.35
Greene County,NA,509257.7,13864.6
Greensville County,NA,831459.55,161636.48
Halifax County,NA,999917.14,99884.98
Hampton City,NA,3405133.32,86872.95
Hanover County,NA,5108843.71,416788.83
Harrisonburg City,"Harrisonburg, VA",893808.59,120743.77
Henrico County,NA,9980960.96,413276.79
Henry County,NA,1298607.85,103717.04
Highland County,NA,62965.31,5320.05
Hopewell City,NA,351755.24,30459.3
Isle of Wight County,"Virginia Beach-Norfolk, VA",1152093.13,63992.37
James City County,"Williamsburg, VA",1955446.47,70568.24
King and Queen County,NA,289088.38,25562.08
King George County,NA,1114832.23,51914.3
King William County,NA,448989.66,38940.46
Lancaster County,NA,347957.33,14473.56
Lee County,NA,591284.1,20347.04
Lexington City,NA,58682.82,915.15
Loudoun County,"Washington-Arlington, DC-VA-MD",10613778.62,247946.42
Louisa County,NA,1609541.5,126940.46
Lunenburg County,NA,242047.62,12358.21
Lynchburg City,"Lynchburg, VA",1638685.76,41962.56
Madison County,NA,703956.08,21810.06
Manassas City,"Washington-Arlington, DC-VA-MD",480326.09,11674.06
Manassas Park City,"Washington-Arlington, DC-VA-MD",65801.79,918.66
Martinsville City,NA,226635.34,3747.35
Mathews County,NA,199620.33,7284.72
Mecklenburg County,NA,1957108.17,197435.33
Middlesex County,NA,375393.12,12681.5
Montgomery County,"Blacksburg-Christiansburg, VA",2600856.28,451983.96
Nelson County,NA,614520.63,60613.1
New Kent County,NA,1849936.96,153568.06
Newport News City,"Virginia Beach-Norfolk, VA",3895691.98,123329.14
Norfolk City,"Virginia Beach-Norfolk, VA",7039354.39,144280.74
Northampton County,NA,771325.96,58121.5
Northumberland County,NA,346184.11,12682.29
Norton City,NA,167648.77,7901.14
Nottoway County,NA,798071.83,37877.88
Orange County,NA,727263.89,30992.77
Page County,NA,470981.71,14152.24
Patrick County,NA,573948.04,24292.03
Petersburg City,NA,995821.09,90493.96
Pittsylvania County,NA,1748124.7,131517.32
Poquoson City,"Virginia Beach-Norfolk, VA",117182.34,895.46
Portsmouth City,"Virginia Beach-Norfolk, VA",1619815.3,60431.72
Powhatan County,NA,1026703.76,38604.39
Prince Edward County,NA,759703.4,66144.35
Prince George County,NA,1429789.7,204656.4
Prince William County,"Washington-Arlington, DC-VA-MD",11143307.98,532304.46
Pulaski County,NA,1241464.45,228488.4
Radford City,NA,194575.69,4821.4
Rappahannock County,NA,321845.35,8440.45
Richmond City,"Richmond, VA",5191924.08,194892.31
Richmond County,NA,307616.6,15452.65
Roanoke City,"Roanoke, VA",1876309.74,83287.57
Roanoke County,"Roanoke, VA",2326614.04,354439.75
Rockbridge County,NA,1601860.08,503483.69
Rockingham County,NA,2727980.45,368260.22
Russell County,NA,741362.05,33327.19
Salem City,"Roanoke, VA",407642.96,15830.53
Scott County,NA,800387.06,27753.6
Shenandoah County,NA,2019152.61,470220.27
Smyth County,NA,1158101.2,172356.33
Southampton County,NA,935051.17,175875.83
Spotsylvania County,"Fredericksburg, VA",4340268.34,274314.44
Stafford County,"Fredericksburg, VA",6335970.59,426205.14
Staunton City,"Staunton-Waynesboro, VA",317231.11,5437.47
Suffolk City,"Virginia Beach-Norfolk, VA",3096236.26,245804.93
Surry County,NA,171751.73,8740.59
Sussex County,NA,1026708.53,202831.69
Tazewell County,NA,1085798.06,37357.23
Virginia Beach City,"Virginia Beach-Norfolk, VA",7330493.74,127608.84
Warren County,NA,1358736.86,143525.81
Washington County,NA,1898943.87,293594.94
Waynesboro City,"Staunton-Waynesboro, VA",419179.23,18717.65
Westmoreland County,NA,609047.71,27705.98
Williamsburg City,"Williamsburg, VA",237517.82,2281.59
Winchester City,"Winchester, VA",356677.92,7854.1
Wise County,NA,997700.05,35264.59
Wythe County,NA,1949940.95,484892.64
York County,NA,2226940.06,72882.15
